original_filename,folder,relative_folder,suggested_filename,product,category,story_role,simple_description,primary_action,shot_type,hook_score,demo_score,reveal_score,broll_score,visual_interest_score,best_use,tags
IMG_1327.mov,800,800,drying-towel-effectiveness-demo.mov,800gsm XL Drying Towel,drying,demo,Drying towel removes water droplets,wiping car surface,demo,6,8,7,6,7,solution,"drying,towel,car,water,wipe,cleaning,detail"
IMG_1328.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,solution,Drying car with 800gsm towel,drying car,demo,7,8,7,6,7,Demonstrate towel use in drying,"car, drying, towel, 800gsm, clean, shine, water droplets"
IMG_1332.mov,800,800,800gsm-xl-drying-towel-before-after.mov,800gsm XL Drying Towel,drying,result,Before and after drying towel,drying surface,reveal,6,7,9,7,8,showcase drying towel effectiveness,"drying,towel,water,droplets,clean,shine,car,detail"
IMG_1333.mov,800,800,800gsm-xl-drying-towel-result.mov,800gsm XL Drying Towel,drying,result,Drying towel removes water streaks,drying car surface,reveal,7,6,8,7,7,result showcase,"drying,towel,car,water,drying-streaks,clean,shine"
IMG_1334.mov,800,800,water-spot-covered-car-boot.mov,800gsm XL Drying Towel,drying,problem,Car boot covered in water spots,show water spots,hook,7,1,2,6,5,opening problem shot,"car, water spots, dirty, boot, drying problem, detail, mercedes, c350"
IMG_1335.mov,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,solution,Drying towel removes water drops,drying car surface,demo,6,8,7,6,7,demonstrate towel drying effectiveness,"car,drying,towel,water,detail,clean"
IMG_1360.mov,800,800,800gsm-xl-towel-packaging.mov,800gsm XL Drying Towel,drying,product_showcase,Towel packaging on car surface,displaying packaging,product_shot,6,2,3,7,6,filler or intro to product detail,"packaging,towel,drying,car,exterior,closeup"
IMG_3952.mov,800,800,wet-car-then-xl-drying-towel-packaging.mov,800gsm XL Drying Towel,drying,problem,Wet car hood water droplets,show water droplets,hook,7,2,1,6,5,intro showing car needs drying,"car,wet,h2o,droplets,cleaning,wet surface"
IMG_3953.mov,800,800,800gsm-xl-drying-towel-packaging-splash.mov,800gsm XL Drying Towel,drying,product_showcase,Towel pack shown on car hood,hold towel pack,product_shot,6,4,3,7,6,product introduction and brand impression,"drying towel, packaging, car, water droplets, closeup"
IMG_3954.mov,800,800,xl-drying-towel-800gsm-product-reveal.mov,800gsm XL Drying Towel,drying,product_showcase,Drying towel package by car headlight,show product packaging,product_shot,7,3,6,7,6,Introduce product packaging visually,"drying towel, car care, product showcase, packaging, headlight, droplets"
IMG_3955.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying wet car hood,drying car hood,demo,6,8,5,6,7,demonstrate drying towel use,"car, drying, towel, wet, cleaning, product demo"
IMG_3956.mov,800,800,800gsm-xl-drying-towel-demo-wet-car.mov,800gsm XL Drying Towel,drying,demo,Drying water droplets from car surface,drying car surface,demo,6,8,5,6,7,demonstrates product use drying a car,"car, drying, towel, water droplets, cleaning, detail"
IMG_3968.mov,800,800,800gsm-xl-drying-towel-dry-car-window.mov,800gsm XL Drying Towel,drying,solution,Drying car window with towel,drying car window,demo,6,8,7,6,7,solution demonstration of drying towel use,"car,drying,towel,window,cleaning,water,wet,dry"
IMG_3969.mov,800,800,800gsm-xl-drying-towel-drying-demonstration.mov,800gsm XL Drying Towel,drying,solution,Drying car rear window with towel,drying car window,demo,6,8,7,5,7,demonstrate towel's drying performance,"car, drying, towel, 800gsm, xl, cleaning, water droplets"
IMG_3970.mov,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,demo,Drying car glass with towel,drying glass,demo,6,8,7,6,7,Demonstrating product drying action,"car, drying, towel, water, glass, cleaning"
IMG_3971.mov,800,800,800gsm-xl-drying-towel-in-use.mov,800gsm XL Drying Towel,drying,solution,Car drying with 800gsm towel,drying car panel,demo,7,8,7,6,7,demonstrating drying efficiency,"drying,towel,car,water removal,cleaning"
IMG_3973.mov,800,800,800gsm-xl-drying-towel-removes-water.mov,800gsm XL Drying Towel,drying,solution,Drying towel removes water from car,wiping water,demo,6,8,7,6,7,solution,"drying,towel,water,car,cleaning,removal,wet"
IMG_3974.mov,800,800,800gsm-xl-drying-towel-water-droplet-removal.mov,800gsm XL Drying Towel,drying,demo,Towel drying water droplets off car,drying car surface,demo,6,8,7,6,7,showing towel effectiveness at drying,"car, drying, water droplets, towel, 800gsm, xl, cleaning"
IMG_4023.mov,800,800,800gsm-xl-drying-towel-demo-wet-car.mov,800gsm XL Drying Towel,drying,demo,Drying car roof with towel,drying,demo,6,8,7,5,7,demonstrate drying with towel,"drying,towel,car,water,wash,demo,roof"
IMG_4024.mov,800,800,800gsm-xl-drying-towel-drying-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car roof with towel,drying with towel,demo,7,9,6,6,7,Demonstrate drying product in use,"drying,towel,car,roof,water,drying demo,cleaning"
IMG_4025.mov,800,800,water-beading-on-car-surface.mov,800gsm XL Drying Towel,drying,result,Water beads on clean car surface,show water beading,reveal,6,2,7,5,6,showing water repellency result on car surface,"water,beading,car,clean,surface,detail,drying"
IMG_4026.mov,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry car roof,drying with towel,demo,5,8,4,6,7,demonstrating towel use for drying,"car, drying, towel, water droplets, detail, wash"
IMG_4027.mov,800,800,800gsm-xl-drying-towel-water-beading.mov,800gsm XL Drying Towel,drying,result,Water beading on car window,show water beads,reveal,7,3,8,6,7,result,"water,beading,car,glass,clean,sheen,droplets"
IMG_4028.mov,800,800,water-beading-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using drying towel on water beads,wiping car surface,demo,6,8,5,6,7,showing towel use on wet surface,"drying,towel,water-beads,car-detailing,wet-surface,demo"
IMG_4029.mov,800,800,800gsm-xl-drying-towel-wiping-water.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry car surface,wiping car surface,demo,6,8,7,5,7,demonstrate drying with towel,"car, drying, towel, water, cleaning, surface, wipe"
IMG_4032.mov,800,800,800gsm-xl-drying-towel-water-beading.mov,800gsm XL Drying Towel,drying,problem,Water beading on car surface,show water beads,broll,5,3,4,7,6,supporting footage for drying problem,"water, beads, car, drying, surface, towel"
IMG_4033.mov,800,800,800gsm-xl-drying-towel-demo-mov.mov,800gsm XL Drying Towel,drying,demo,Drying car with 800gsm towel,drying car surface,demo,6,8,7,6,7,solution video showing drying process,"car, drying, towel, water droplets, cleaning, demonstration, shiny"
IMG_4034.mov,800,800,800gsm-xl-drying-towel-used-on-taillight.mov,800gsm XL Drying Towel,drying,demo,Drying car taillight with towel,drying car surface,demo,5,8,6,7,7,demonstrate drying with 800gsm towel,"drying,towel,car,light,wet,surface,800gsm,xl"
IMG_4035.mov,800,800,close-up-water-droplets-on-rear-light.mov,800gsm XL Drying Towel,drying,problem,Water droplets on car rear light,show droplets,hook,7,1,2,5,6,Opening hook to catch attention,"water, droplets, car, rear light, close-up, wet"
IMG_4036.mov,800,800,800gsm-xl-drying-towel-demo-wet-to-dry.mov,800gsm XL Drying Towel,drying,demo,Drying car body with XL towel,drying car,demo,7,9,8,6,8,solution,"drying,towel,car,wet,drying,tutorial,demo,detail"
IMG_4037.mov,800,800,drying-towel-demo-on-car-trunk.mov,800gsm XL Drying Towel,drying,solution,Using towel to dry car rear,drying car trunk,demo,6,8,5,7,7,solution demonstration showing product in use,"towel,drying,car rear,wet car,cleaning,car detailing"
IMG_4089 2.mov,800,800,800gsm-xl-drying-towel-packaging.mov,800gsm XL Drying Towel,drying,product_showcase,Showcasing packaged XL drying towel,show packaging,product_shot,7,1,1,7,6,intro product showcase or supporting b-roll,"drying,towel,packaging,product,car-care"
IMG_7221.MOV,800,800,800gsm-xl-drying-towel-unboxing.mov,800gsm XL Drying Towel,drying,product_showcase,Unboxing 800gsm XL drying towel,show packaging,demo,6,7,2,5,6,product showcase or intro,"drying towel, unboxing, street kingz, car care, product showcase"
IMG_7222.MOV,800,800,800gsm-xl-drying-towel-unboxing.mov,800gsm XL Drying Towel,drying,product_showcase,Unboxing 800gsm drying towel pouch,opening pouch,demo,6,7,3,5,6,product introduction,"unboxing, pouch, towel, drying, 800gsm, street kingz"
IMG_7223.MOV,800,800,800gsm-xl-drying-towel-unboxing.mov,800gsm XL Drying Towel,drying,product_showcase,Unboxing 800gsm XL drying towel,unboxing towel,product_shot,6,4,3,7,6,product introduction and branding,"unboxing, towel, drying, microfiber, car care, product packaging"
IMG_7224.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using drying towel on wet car,drying car surface,demo,7,9,6,7,7,demo in solution videos,"towel,drying,car wash,wet car,detail"
IMG_7225.MOV,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,demo,Drying rear window with XL towel,drying car glass,demo,6,8,7,6,7,demonstrating drying product use,"drying,towel,car detailing,water droplets,glass cleaning"
IMG_7226.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using drying towel on wet car,drying car surface,demo,6,8,7,6,7,demonstrate drying towel use,"drying,towel,car,cleaning,wet,surface"
IMG_7227.MOV,800,800,drying-car-with-800gsm-xl-drying-towel.mov,800gsm XL Drying Towel,drying,solution,Drying wet car with towel,drying car,demo,7,9,7,6,7,demonstrate towel drying action,"car,drying,towel,800gsm,xl,towel,detailed,wet,clean"
IMG_7228.MOV,800,800,drying-car-with-800gsm-xl-drying-towel.mov,800gsm XL Drying Towel,drying,solution,Man drying car with large towel,drying car,demo,6,9,7,6,7,demonstrate drying product use,"car, drying, towel, cleaning, outdoor, black car, microfiber"
IMG_7229.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry wet car surface,drying car,demo,6,8,7,5,7,solution,"car, drying, towel, water, detail, clean, shine"
IMG_7230.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car panel with towel,drying car,demo,6,8,7,5,7,demonstrate towel drying ability,"drying,towel,car care,cleaning,detail,black car"
IMG_7231.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car with XL towel,drying car surface,demo,5,9,7,6,7,demonstrate towel drying performance,"drying,towel,car wash,detailing,wet car,water removal"
IMG_7232.MOV,800,800,800gsm-xl-drying-towel-in-action.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry car surface,drying car hood,demo,6,9,7,6,7,solution,"drying,towel,car wash,water removal,cleaning"
IMG_7233.MOV,800,800,800gsm-xl-drying-towel-in-action.mov,800gsm XL Drying Towel,drying,demo,Drying car hood with towel,drying,demo,6,8,7,6,7,solution,"car, drying, towel, water, cleaning, washing"
IMG_7234.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car hood with towel,drying car hood,demo,5,8,6,6,7,solution,"drying,towel,car,water,wet,surface,cleaning"
IMG_7235.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car bonnet with towel,drying water droplets,demo,6,8,7,5,6,solution,"drying,towel,car,water,detail,clean"
IMG_7236.MOV,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,solution,Drying towel removing water drops,drying car hood,demo,6,8,7,5,7,demonstrates drying effectiveness,"drying,towel,car,water,cleaning,demo"
IMG_7237.MOV,800,800,800gsm-xl-drying-towel-demonstration.mov,800gsm XL Drying Towel,drying,demo,Drying towel removes water from car hood,drying car hood,demo,6,8,7,6,7,solution,"drying,towel,car,water,wet,clean,hood,cleaning"
IMG_7238.MOV,800,800,800gsm-xl-drying-towel-demo-wiping-car-door.mov,800gsm XL Drying Towel,drying,demo,Wiping water from car door,wiping,demo,6,8,7,5,7,solution,"car, drying, towel, water, wipe, clean, demo"
IMG_7239.MOV,800,800,drying-rear-bumper-with-800gsm-xl-towel.mov,800gsm XL Drying Towel,drying,solution,Drying rear bumper with towel,drying with towel,demo,5,8,6,7,6,Show product in use drying car surface,"car, drying, towel, 800gsm, xl towel, rear bumper, demo"
IMG_7250.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Using towel to dry car surface,drying car,demo,6,8,7,5,7,solution,"drying,towel,car,water,reflection,clean,surface"
IMG_7971.MOV,800,800,800gsm-xl-drying-towel-drying-demo.mov,800gsm XL Drying Towel,drying,solution,Drying car with XL towel,drying car hood,demo,6,8,5,7,6,demonstrating drying towel use,"drying, towel, microfiber, car care, cleaning, car hood"
IMG_7972.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,solution,Using towel to dry wet car hood,car drying,demo,7,9,8,6,7,demonstrating product use on car surface,"car, drying, towel, detailing, cleaning, wet, hood"
IMG_7973.MOV,800,800,800gsm-xl-drying-towel-demo.mov,800gsm XL Drying Towel,drying,demo,Drying car hood with towel,drying car hood,demo,6,8,7,6,7,solution,"car, drying, detail, towel, cleaning, water, shine"
IMG_9003.mov,800,800,800gsm-xl-drying-towel-in-use.mov,800gsm XL Drying Towel,drying,solution,Drying car hood with towel,drying car surface,demo,6,8,7,6,7,demonstrate drying towel use,"drying,towel,car,hood,cleaning,detail,cloth"
IMG_4088 2.mov,Barrel Brush,Barrel Brush,xl-barrel-brush-close-up-demo.mov,XL Barrel Brush,wheels,solution,Close-up of XL Barrel Brush use,show brush details,demo,7,8,3,6,7,demonstrating brush use and features,"xc barrel brush, close-up, brush, car wheel, cleaning tool, detailing, demo"
IMG_1147.MOV,Before Wash,Before Wash,dirty-car-before-wash-closeup.mov,unclear,general,problem,Dirty car panel closeup,show dirt,hook,8,2,2,6,7,opening shot to show dirt problem,"dirty, car, closeup, panel, before wash, water droplets, grime"
IMG_1148.MOV,Before Wash,Before Wash,dirty-car-before-wash.mov,unclear,wheels,problem,Close-up on dirty wheel and body,show dirt buildup,hook,7,1,1,6,6,opening problem clip,"dirty, wheel, car, grime, before wash, close-up"
IMG_1149.MOV,Before Wash,Before Wash,dirty-wheel-closeup-before-wash.mov,unclear,wheels,problem,Dirty wheel close-up shot,show dirt,broll,4,1,1,6,5,problem,"wheel,dirt,car,before wash,closeup"
IMG_1150.MOV,Before Wash,Before Wash,dirty-car-wheel-and-body-before-wash.mov,unclear,wheels,problem,Close-up dirty wheel and body,show dirt,hook,7,1,1,5,6,problem,"dirty, car, wheel, mud, grime, before wash, road dirt"
IMG_1151.MOV,Before Wash,Before Wash,dirty-car-before-wash-closeup.mov,unclear,general,problem,Dirty car surface and lower panels,show dirt,broll,6,1,2,7,6,establishing problem shot,"dirty, car, mud, water, before wash, closeup, side panel"
IMG_1286.mov,Before Wash,Before Wash,dirty-car-before-wash.mov,unclear,general,problem,Dirty car exterior close-up,show dirt,broll,6,1,2,7,6,problem identification or broll,"dirty, car, exterior, before wash, close-up"
IMG_1287.mov,Before Wash,Before Wash,dirty-car-before-wash-detailing.mov,unclear,general,problem,Dirty car with grime and water marks,show dirt,hook,8,3,2,6,7,opening shot showing car dirt problem,"dirty car, grime, water marks, rear bumper, problem"
IMG_1288.mov,Before Wash,Before Wash,dirty-car-before-wash-mov,unclear,general,problem,Close-up of dirty car surfaces,show dirt,broll,6,1,1,8,6,problem introduction or filler,"dirty,car,close-up,dust,water-spots,exterior"
IMG_1289.mov,Before Wash,Before Wash,dirty-wheel-shot-before-wash.mov,unclear,wheels,problem,Dirty wheel close-up footage,show dirt,broll,5,2,1,7,6,problem introduction or b-roll footage,"wheel,dirt,close-up,dirty,before wash,car"
IMG_1290.mov,Before Wash,Before Wash,dirty-mercedes-wheel-before-wash.mov,,wheels,problem,Dirty Mercedes alloy wheel close-up,show dirty wheel,hook,7,1,1,4,6,problem,"dirty wheel,mercedes,alloy,wheel,dirt,close-up,before wash"
IMG_1291.mov,Before Wash,Before Wash,dirty-wheel-and-body-before-wash.mov,unclear,general,problem,Dirty wheel and dusty car body,show dirt,hook,7,1,1,6,6,problem,"dirty, wheel, dusty, car, before wash, problem"
IMG_1292.mov,Before Wash,Before Wash,dirty-black-car-before-wash.mov,unclear,general,problem,Dirty black car before wash,show dirty car,broll,6,1,1,7,6,establishing problem shot,"dirty car,before wash,black car,car wheel,car headlight,dirt"
IMG_3896.MOV,Before Wash,Before Wash,dirty-car-hood-before-wash.mov,unclear,general,problem,Close-up of dirty car hood,show dirt,broll,5,1,2,6,4,"intro to problem, dirt on car","car, hood, dirt, dust, before wash, street, uk"
IMG_3897.MOV,Before Wash,Before Wash,dirty-car-before-wash.mov,unclear,general,problem,Close-up of dirty black car,show dirt,broll,6,1,1,7,5,problem intro or b-roll,"car, dirty, black, close-up, dirt, grime, before wash, street"
IMG_3898.MOV,Before Wash,Before Wash,dirty-car-wheel-before-wash.mov,unclear,wheels,problem,dirty car wheel close-up,show dirt on wheel,hook,7,1,1,6,6,problem,"dirty, wheel, tire, car, close-up, before wash, grime"
IMG_3899.MOV,Before Wash,Before Wash,dirty-car-before-wash-closeup.mov,unclear,general,problem,Close-up of dirty car surface,show dirt,hook,7,1,2,6,6,problem,"car, dirty, close-up, surface, exterior, before wash, grime"
IMG_3900.MOV,Before Wash,Before Wash,dirty-car-rear-window-before-wash.mov,unclear,general,problem,Dirty rear window spotted,showing dirt spots,hook,7,1,2,5,6,as an opening problem clip,"dirty, rear window, dust, spots, before wash, car"
IMG_3901.MOV,Before Wash,Before Wash,dirty-car-roof-before-wash.mov,unclear,general,problem,Dirty car roof covered in spots,show dirty roof,reveal,7,1,6,5,6,problem,"car,dirt,roof,before wash,dirty,spots"
IMG_8194.MOV,Before Wash,Before Wash,dirty-car-before-wash-closeup.mov,unclear,general,problem,Close-up of dirty car paint,show dirt,hook,7,2,3,6,6,opening clip showing dirty car condition,"dirty, car, paint, closeup, before wash"
IMG_8195.MOV,Before Wash,Before Wash,dirty-car-before-wash.mov,unclear,general,problem,Close-up of dirty car paint surface,show dirt spots,hook,7,2,1,6,5,opening clip to show dirt problem,"dirty, paint, car, dust, close-up"
IMG_8196.MOV,Before Wash,Before Wash,dirty-car-dust-before-wash.mov,unclear,general,problem,Close-up of dusty car panel,showing dirt,broll,6,1,2,7,5,problem statement and b-roll,"car,dirt,dust,before wash,close-up,reflection"
IMG_8197.MOV,Before Wash,Before Wash,dirty-car-closeup-before-wash.mov,unclear,general,problem,Closeup of dirty car surface,show dirt,hook,7,1,1,6,5,problem,"dirty,car,closeup,pollution,dust,paint"
IMG_8198.MOV,Before Wash,Before Wash,dirty-car-before-wash.mov,unclear,general,problem,Dusty car roof close-up,show dirt,hook,7,2,1,5,6,opening problem shot to show car dirt,"dirty, car, dust, close-up, roof, before wash, problem"
IMG_3906.mov,Buckets,Buckets,cleaning-bucket-with-grit-guard.mov,Buckets and grit guards,general,demo,Closeup of bucket with grit guard,Filling bucket with water,demo,6,8,3,7,6,Product use demonstration,"bucket, grit guard, cleaning, water, detailing"
IMG_4084 2.mov,Buckets,Buckets,grit-guard-bucket-and-wash-mitt-assembly.mov,"Buckets and grit guards, Microfibre Wash Mitt",general,solution,Grit guard and mitt in bucket,show assembly,demo,5,7,4,6,6,demonstrate grit guard use,"bucket, grit guard, wash mitt, car cleaning, setup, demo"
IMG_4086 2.mov,Buckets,Buckets,street-kingz-bucket-with-grit-guard-and-barrel-brush.mov,buckets and grit guards,general,product_showcase,Bucket with grit guard and barrel brush,show bucket and brush,product_shot,5,6,3,7,6,product introduction or overview,"bucket, grit guard, barrel brush, car detailing, wash"
IMG_1364.mov,Bundles,Bundles,car-cleaning-bundle-on-car.mov,"Microfibre Wash Mitt, Shampoo, 1200gsm Heavy Duty Drying Towel",general,product_showcase,Street Kingz cleaning bundle on car,show products,product_shot,6,3,4,7,6,product_showcase,"microfibre, shampoo, drying towel, car cleaning, bundle"
IMG_1365.mov,Bundles,Bundles,microfibre-wash-mitt-shampoo-drying-towel-bundle.mov,"Microfibre Wash Mitt, Shampoo, 1200gsm Heavy Duty Drying Towel",product,product_showcase,"Wash mitt, shampoo and drying towel bundle",display products,product_shot,5,2,3,6,5,product showcase or bundle introduction,"microfibre mitt, shampoo, drying towel, bundle, car care, street kingz"
IMG_1234.MOV,Clean Car,Clean Car,clean-car-sunny-front-and-side.mov,unclear,general,result,Clean car front and side views,show car surface,reveal,6,1,7,6,7,show final clean car result,"car, clean, front, side, shine, outdoor"
IMG_1371.MOV,Clean Car,Clean Car,clean-car-shiny-black-mercedes.mov,unclear,general,result,Shiny black Mercedes car close-up,car parked clean,reveal,6,2,7,8,7,result,"car, clean, shiny, black, mercedes, wheel, detail, reflection"
IMG_1372.MOV,Clean Car,Clean Car,clean-car-front-bumper-broll.mov,unclear,general,broll,Close-up of clean car front bumper,show clean bumper,broll,5,1,5,7,6,supporting clean car visual,"car,clean,front,bumper,mercedes"
IMG_1373.mov,Clean Car,Clean Car,clean-car-reflection-detail.mov,unclear,general,result,Close-up of clean car reflections,show clean surface,reveal,6,3,8,7,7,Showcase clean car surface result,"car,clean,reflection,detail,exhaust,bumper"
IMG_1374.mov,Clean Car,Clean Car,clean-car-polished-black-mercedes.mov,unclear,general,result,Shiny polished black Mercedes close shots,show polished car,reveal,6,2,8,7,7,showcase polished car finish,"car,black,polished,shiny,wheels,mercedes,exterior,close-up"
IMG_1375.mov,Clean Car,Clean Car,clean-car-black-car-side-reflective.mov,unclear,general,result,Side view of clean black car,show car side,reveal,4,1,6,6,6,show clean car result with reflections,"car,clean,black,reflection,side-view,wheel"
IMG_1376.mov,Clean Car,Clean Car,clean-car-side-reflection.mov,unclear,general,result,Car side with clear reflections,show reflection,reveal,5,2,7,6,6,result,"car,reflection,clean,detail,wet-look"
IMG_1377.mov,Clean Car,Clean Car,clean-car-reflection-detail.mov,unclear,general,result,Car paint smooth shiny reflection,show car reflection,reveal,5,1,7,6,7,Car finish result footage,"car,clean,shine,reflection,black paint"
IMG_1378.mov,Clean Car,Clean Car,clean-car-black-mercedes-benz-front-detail.mov,unclear,general,result,Shiny clean black car close-up,show car details,reveal,7,2,8,7,7,Show clean car result footage,"car, clean, shiny, black, detail, wheels, front, headlight"
IMG_1379.mov,Clean Car,Clean Car,clean-car-exterior-broll.mov,unclear,general,broll,Close-up of clean car exterior,show car details,broll,5,1,3,8,6,Supporting footage to highlight cleanliness,"car, clean, exterior, wheel, paint, detail, reflection"
IMG_3977.mov,Clean Car,Clean Car,clean-car-reflective-side-and-wheel.mov,unclear,general,result,Reflective car body and clean wheels,show clean surface,reveal,6,2,8,7,7,result,"car,clean,wheel,reflection,black,shiny"
IMG_3978.mov,Clean Car,Clean Car,clean-car-soapy-side-broll.mov,unclear,general,broll,Soapy car side panel close-up,show car side,broll,4,2,3,8,6,Supporting footage to show clean car stage,"car, soap, wash, clean, panel, side, reflection, outdoor"
IMG_3979.mov,Clean Car,Clean Car,shiny-clean-car-result.mov,unclear,general,result,Shiny clean black car exterior,show clean car,reveal,5,2,7,6,7,result video showing clean car finish,"car,clean,black,exterior,shine,detail,reflection"
IMG_3980.mov,Clean Car,Clean Car,clean-car-soapy-wash-foam.mov,shampoo,foam,problem,Car covered in washing foam,car with foam,broll,6,4,3,7,6,establishing shot for washing process,"car, foam, shampoo, washing, soap, clean, exterior, black car"
IMG_3981.mov,Clean Car,Clean Car,clean-car-foam-coverage.mov,foam cannon / snow foam lance,foam,solution,car covered in foam wash,applying foam,broll,4,6,3,7,6,foam application supporting footage,"car, foam, wash, cleaning, detail, foam cannon"
IMG_3982.mov,Clean Car,Clean Car,clean-car-soapy-foam-on-driveway.mov,shampoo,foam,solution,Car covered in soapy foam,foam application,broll,4,6,3,7,5,supporting clip to show cleaning process,"car, foam, shampoo, cleaning, driveway, soap, washing"
IMG_3983.mov,Clean Car,Clean Car,clean-car-soap-foam-lather.mov,unclear,foam,broll,Black car covered in soap foam,car covered in foam,broll,5,3,6,8,7,supporting footage showing car wash foam,"car, foam, soap, black, clean, washing, exterior"
IMG_3984.mov,Clean Car,Clean Car,black-mercedes-soaped-car-wash.mov,shampoo,foam,solution,Car covered with shampoo foam,car washing,broll,4,6,3,7,6,supporting footage for washing step,"car, shampoo, cleaning, foam, foam cannon, washing, mercedes"
IMG_3926.mov,Clean Wheels,Clean Wheels,clean-wheels-reveal.mov,unclear,wheels,result,Clean shiny alloy wheel reveal,show clean wheel,reveal,7,2,8,6,7,result footage showing clean wheels,"clean, wheels, alloy, shiny, reveal"
IMG_3927.mov,Clean Wheels,Clean Wheels,clean-wheels-result.mov,unclear,wheels,result,Close-up of clean car wheels,show clean wheels,reveal,6,3,8,7,7,result video close-up,"car,wheels,clean,close-up,detail"
IMG_3928.mov,Clean Wheels,Clean Wheels,clean-wheel-showcase.mov,unclear,wheels,result,Close-up of clean wheel detail,show wheel,reveal,5,1,7,6,7,"result, broll","wheel, clean, detail, mercedes, close-up"
IMG_3929.mov,Clean Wheels,Clean Wheels,close-up-clean-wheel-detail.mov,unclear,wheels,result,Close-up of clean wheel,showing clean wheel,reveal,6,2,7,6,7,result,"wheel, clean, detail, close-up, rim"
IMG_3907.mov,Cleaning Wheels,Cleaning Wheels,wheel-cleaning-foam-application.mov,unclear,wheels,solution,Applying foam to wheel and tyre,spraying foam,demo,6,8,5,7,7,demonstrate wheel cleaning step,"wheel, tyre, cleaning, foam, spray, closeup, detail"
IMG_3908.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheels-soapy-closeup.mov,unclear,wheels,solution,Wheel coated with soapy foam,applying foam,demo,6,7,4,6,7,Demonstrate wheel cleaning step,"wheel,foam,cleaning,car,detail"
IMG_3909.mov,Cleaning Wheels,Cleaning Wheels,wheel-soap-on-mercedes-rim.mov,unclear,wheels,problem,Soapy wheel on Mercedes rim,wheel cleaning soap applied,demo,6,7,3,7,6,solution or problem clip showing dirty wheel,"wheel, soap, cleaning, mercedes, foam, rim, dirty"
IMG_3910.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheel-barrel-brush-demo.mov,xl barrel brush,wheels,solution,Cleaning wheel with XL barrel brush,cleaning wheel,demo,6,8,5,7,6,solution video showing product in use,"wheel cleaning, barrel brush, detailing, foam, soap"
IMG_3911.mov,Cleaning Wheels,Cleaning Wheels,wheel-cleaning-xl-barrel-brush-demo.mov,XL Barrel Brush,wheels,solution,Cleaning wheel with XL Barrel Brush,scrubbing wheel,demo,6,9,5,7,7,demonstrate cleaning product use,"wheel, cleaning, brush, soap, foam, detailing, car"
IMG_3912.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheels-barrel-brush-demo.mov,xl barrel brush,wheels,solution,Cleaning alloy wheel with barrel brush,scrubbing wheel,demo,7,9,6,8,7,Demonstrate cleaning action on wheel,"car,wheel,cleaning,barrel brush,foam,detailing"
IMG_3913.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheels-with-xl-barrel-brush.mov,XL Barrel Brush,wheels,solution,Cleaning car wheel with brush,scrubbing wheel,demo,6,8,5,7,7,solution demonstration,"car, wheel, cleaning, brush, soap, foamy, detail, scrub"
IMG_3914.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheels-barrel-brush-demo.mov,xl barrel brush,wheels,solution,Using barrel brush to clean wheel,scrubbing wheel with brush,demo,7,9,6,7,8,solution,"wheel,cleaning,barrel,brush,car,foam,detailing"
IMG_3915.mov,Cleaning Wheels,Cleaning Wheels,cleaning-wheel-with-barrel-brush.mov,xl barrel brush,wheels,solution,Cleaning wheel with XL barrel brush,scrubbing wheel,demo,7,9,6,7,8,demonstrating wheel cleaning product use,"wheel cleaning, barrel brush, soap, scrubbing, car care, car cleaning"
